"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Proteobacteria",17692.5098188629,-1.10322116554421,0.107635273777625,-10.2496247449833,1.18803868965228e-24,5.94019344826142e-24
"Bacteroidetes",156295.336527413,-0.69589580742396,0.0918398987917665,-7.57727106169619,3.5289898331575e-14,8.82247458289376e-14
"Verrucomicrobia",64308.2954154738,1.01793134072127,0.135769434786331,7.49750002512167,6.5046462507648e-14,1.0841077084608e-13
"Actinobacteria",12.2629759505343,3.89542772241935,0.851329223602883,4.57570069770851,4.74628703895824e-06,5.9328587986978e-06
"Firmicutes",23032.9232107986,0.363191945807416,0.131586987055583,2.76009014215061,0.00577854147398502,0.00577854147398502
