sampleID,isIncluded,subjectID,measurementID,perturbID,window,cohort
162,1,4,10,0,0,healthy
163,1,4,11,0,0,healthy
164,1,4,14,0,0,healthy
165,1,4,16,0,0,healthy
166,1,4,18,0,0,healthy
167,1,4,21,0,0,healthy
168,1,4,21.5,0,0,healthy
169,1,4,22,1,1,healthy
170,1,4,22.5,1,1,healthy
171,1,4,23,1,1,healthy
172,1,4,23.5,1,1,healthy
173,1,4,24,1,1,healthy
174,1,4,25,1,1,healthy
175,1,4,28,1,1,healthy
176,1,4,29,0,1.5,healthy
177,1,4,29.5,0,1.5,healthy
178,1,4,30,0,1.5,healthy
179,1,4,30.5,0,1.5,healthy
180,1,4,31,0,1.5,healthy
181,1,4,31.5,0,1.5,healthy
182,1,4,32,0,1.5,healthy
183,1,4,33,0,1.5,healthy
184,1,4,35,0,1.5,healthy
185,1,4,35.5,0,1.5,healthy
186,1,4,36,2,2,healthy
187,1,4,36.5,2,2,healthy
188,1,4,37,2,2,healthy
189,1,4,37.5,2,2,healthy
190,1,4,38,2,2,healthy
191,1,4,39,2,2,healthy
192,1,4,42,2,2,healthy
193,1,4,42.5,2,2,healthy
194,1,4,43,0,2.5,healthy
195,1,4,43.5,0,2.5,healthy
196,1,4,44,0,2.5,healthy
197,1,4,44.5,0,2.5,healthy
198,1,4,45,0,2.5,healthy
199,1,4,45.5,0,2.5,healthy
200,1,4,46,0,2.5,healthy
201,1,4,47,0,2.5,healthy
202,1,4,50,0,2.5,healthy
203,1,4,50.5,0,2.5,healthy
204,1,4,51,3,3,healthy
205,1,4,51.5,3,3,healthy
206,1,4,52,3,3,healthy
207,1,4,52.5,3,3,healthy
208,1,4,53,3,3,healthy
209,1,4,54,3,3,healthy
210,1,4,57,3,3,healthy
211,1,4,57.5,3,3,healthy
212,1,4,58,0,0,healthy
213,1,4,58.5,0,0,healthy
214,1,4,59,0,0,healthy
215,1,4,59.5,0,0,healthy
216,1,4,60,0,0,healthy
217,1,4,60.5,0,0,healthy
218,1,4,61,0,0,healthy
219,1,4,62,0,0,healthy
220,1,4,63,0,0,healthy
221,1,4,64,0,0,healthy
222,1,4,64.5,0,0,healthy
223,1,5,1,0,0,healthy
224,1,5,1.5,0,0,healthy
225,1,5,2,0,0,healthy
226,1,5,2.5,0,0,healthy
227,1,5,3,0,0,healthy
228,1,5,3.5,0,0,healthy
229,1,5,4,0,0,healthy
230,1,5,4.5,0,0,healthy
231,1,5,5,0,0,healthy
232,1,5,6,0,0,healthy
233,1,5,7,0,0,healthy
234,1,5,8,0,0,healthy
235,1,5,9,0,0,healthy
236,1,5,10,0,0,healthy
237,1,5,11,0,0,healthy
238,1,5,14,0,0,healthy
239,1,5,16,0,0,healthy
240,1,5,18,0,0,healthy
241,1,5,21,0,0,healthy
242,1,5,21.5,0,0,healthy
243,1,5,22,1,1,healthy
244,1,5,22.5,1,1,healthy
245,1,5,23,1,1,healthy
246,1,5,23.5,1,1,healthy
247,1,5,24,1,1,healthy
248,1,5,25,1,1,healthy
249,1,5,28,1,1,healthy
250,1,5,28.5,1,1,healthy
251,1,5,29,0,1.5,healthy
252,1,5,29.5,0,1.5,healthy
253,1,5,30,0,1.5,healthy
254,1,5,30.5,0,1.5,healthy
255,1,5,31,0,1.5,healthy
256,1,5,31.5,0,1.5,healthy
257,1,5,32,0,1.5,healthy
258,1,5,33,0,1.5,healthy
259,1,5,35,0,1.5,healthy
260,1,5,35.5,0,1.5,healthy
261,1,5,36,2,2,healthy
262,1,5,36.5,2,2,healthy
263,1,5,37,2,2,healthy
264,1,5,37.5,2,2,healthy
265,1,5,38,2,2,healthy
266,1,5,39,2,2,healthy
267,1,5,42,2,2,healthy
268,1,5,42.5,2,2,healthy
269,1,5,43,0,2.5,healthy
270,1,5,43.5,0,2.5,healthy
271,1,5,44,0,2.5,healthy
272,1,5,44.5,0,2.5,healthy
273,1,5,45,0,2.5,healthy
274,1,5,45.5,0,2.5,healthy
275,1,5,46,0,2.5,healthy
276,1,5,47,0,2.5,healthy
277,1,5,50,0,2.5,healthy
278,1,5,50.5,0,2.5,healthy
279,1,5,51,3,3,healthy
280,1,5,51.5,3,3,healthy
281,1,5,52,3,3,healthy
282,1,5,52.5,3,3,healthy
283,1,5,53,3,3,healthy
284,1,5,54,3,3,healthy
285,1,5,57,3,3,healthy
286,1,5,57.5,3,3,healthy
287,1,5,58,0,0,healthy
288,1,5,58.5,0,0,healthy
289,1,5,59,0,0,healthy
290,1,5,59.5,0,0,healthy
291,1,5,60,0,0,healthy
292,1,5,60.5,0,0,healthy
293,1,5,61,0,0,healthy
294,1,5,62,0,0,healthy
295,1,5,63,0,0,healthy
296,1,5,64,0,0,healthy
297,1,5,64.5,0,0,healthy
298,1,10,1,0,0,uc
299,1,10,1.5,0,0,uc
300,1,10,2,0,0,uc
301,1,10,2.5,0,0,uc
302,1,10,3,0,0,uc
303,1,10,3.5,0,0,uc
