"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Veillonellales Veillonellaceae",55.8755515795589,-24.7581680137515,3.49322625596186,-7.08747908083448,1.36576939583777e-12,3.00469267084309e-11
"Erysipelotrichales Erysipelatoclostridiaceae",89.1203813277409,6.32876506453026,0.912403688635879,6.93636505787509,4.02317171053046e-12,4.42548888158351e-11
"Clostridiales Lachnospiraceae",11853.4234584191,-1.26261147123259,0.235776492808998,-5.35512025049684,8.54995361249087e-08,6.26996598249331e-07
"Bacteroidales Porphyromonadaceae",9394.56939224807,1.13301669625022,0.247065673036589,4.58589282082269,4.52050470697339e-06,2.48627758883536e-05
"Clostridiales Ruminococcaceae",3082.78550449999,-1.32165381619661,0.295025493137847,-4.47979529544955,7.47146592778463e-06,3.28744500822524e-05
"Clostridiales Eubacteriaceae",14.3395615810584,8.36685884070774,1.88543591489142,4.43762568360198,9.09566135923646e-06,3.33507583172003e-05
"Clostridiales unknown",36.6252818540995,5.62040289654496,1.41430143101921,3.97397808789222,7.06820686182284e-05,0.000222143644228718
"Erysipelotrichales Erysipelotrichaceae",1765.96594095123,1.00144101602198,0.274457151063412,3.64880642439738,0.000263461523841236,0.000724519190563399
"Verrucomicrobiales Akkermansiaceae",55223.4329264249,-0.530465576896017,0.173013000441798,-3.06604460671421,0.00216910951827834,0.00530226771134705
"Bacteroidales Rikenellaceae",718.630963560422,1.37012921639299,0.527217131713831,2.59879494419898,0.00935516384889589,0.020581360467571
"Enterobacterales Enterobacteriaceae",31.4578365527722,3.22714997669298,1.39064709604958,2.32061030139161,0.0203078857158178,0.0406157714316357
"Pseudomonadales Moraxellaceae",6.52966603832328,7.58554008769091,4.1833279225701,1.81327886029805,0.0697888220867704,0.126484649556668
"Clostridiales Peptostreptococcaceae",8.45455025497608,4.59743311752658,2.57985508713764,1.78205091458352,0.0747409292834859,0.126484649556668
"Lactobacillales Streptococcaceae",27.6498704010863,-2.9488022651418,1.73123511336094,-1.70329393297548,0.0885130754191142,0.136503510125235
"Eggerthellales Eggerthellaceae",11.3340032320216,-2.93750127810294,1.74911843599922,-1.67941816725797,0.0930705750853876,0.136503510125235
"Desulfovibrionales Desulfovibrionaceae",291.822916015641,2.22978597745069,1.37176409556015,1.62548792803925,0.10405863402357,0.143080621782409
"Burkholderiales Sutterellaceae",13996.1805094113,-0.232031286844059,0.222556100014061,-1.04257437486278,0.297145462520653,0.384541186791433
"Clostridiales Clostridiales_Incertae_Sedis_XIII",12.067934098339,1.18921861894552,1.45710732150881,0.816150328387686,0.414414162010559,0.501355276283114
"Acidaminococcales Acidaminococcaceae",129.525589355698,1.21586882854022,1.55067961997733,0.784087707658139,0.432988647699053,0.501355276283114
"Bacteroidales Barnesiellaceae",12.2019136582626,-1.47213606287877,2.905557085963,-0.50666224043258,0.612391828978179,0.673631011875997
"Bacteroidales Bacteroidaceae",107116.124214249,0.0257773275287083,0.173211847427974,0.148819655880797,0.881695940203899,0.892693054759576
"Bacteroidales Odoribacteraceae",10.0204309761455,0.577304964073413,4.27958793957362,0.134897324748263,0.892693054759576,0.892693054759576
