"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Bacteroidales Prevotellaceae",3084.25298182347,-10.6973627530712,1.23825153902622,-8.63908698347655,5.6664022864769e-18,1.35993654875446e-16
"Desulfovibrionales Desulfovibrionaceae",3827.54833537215,3.3661635144586,0.469176800871437,7.1746162815518,7.25102697147477e-13,8.70123236576973e-12
"Enterobacterales Enterobacteriaceae",12308.5409716452,8.84135967679401,1.25144833734781,7.06490185246596,1.60729555908109e-12,1.07802432569637e-11
"Burkholderiales Sutterellaceae",5263.4554496973,-3.14253199293798,0.445786169138223,-7.04941564026763,1.79670720949396e-12,1.07802432569637e-11
"Clostridiales Christensenellaceae",159.893747053022,5.91870287915407,1.02706162422407,5.76275341182722,8.27526573597062e-09,3.9721275532659e-08
"Erysipelotrichales Erysipelotrichaceae",2447.86923809378,2.6427617283941,0.570285079206637,4.6341063877572,3.58482612626129e-06,1.43393045050452e-05
"Lactobacillales Streptococcaceae",65.6389008587402,6.75180262394259,1.48803151619935,4.53740566005461,5.69504931636232e-06,1.95258833703851e-05
"Bacteroidales Bacteroidaceae",79515.6733881364,-1.3733055310507,0.311705942666852,-4.40577269493534,1.0540745266272e-05,3.16222357988161e-05
"Burkholderiales Oxalobacteraceae",25.3212599738494,-6.00809998232466,1.57697995492024,-3.80987720457648,0.000139035830486557,0.000370762214630819
"Clostridiales Peptostreptococcaceae",33.340635560145,7.93535852228799,2.33119677641244,3.40398485558135,0.000664104352888647,0.00159385044693275
"Verrucomicrobiales Akkermansiaceae",20965.730744416,1.52505391063035,0.729366205288741,2.09093031672151,0.0365343109803333,0.0797112239570909
"Clostridiales Lachnospiraceae",7971.14104837195,0.679123856310572,0.374948665824979,1.81124489352785,0.0701029517136454,0.139306089628857
"Bacteroidales Rikenellaceae",1223.69309871168,-1.42354292055468,0.800789784011909,-1.77767367788187,0.0754574652156307,0.139306089628857
"Erysipelotrichales Erysipelatoclostridiaceae",130.548607569967,1.75498045051891,1.0228629620589,1.7157532490827,0.0862072141652241,0.147783795711813
"Clostridiales Ruminococcaceae",2981.27300794423,1.02103216673265,0.739996536252174,1.37977965667761,0.16765449809912,0.268247196958591
"Clostridiales Eubacteriaceae",40.5738283528354,1.79358795639759,1.33727372208715,1.34122724971987,0.179846681630702,0.269770022446053
"Clostridiales Clostridiales_Incertae_Sedis_XIII",31.2027834991596,1.29975850293358,1.03606133618529,1.25451887599552,0.209653469199784,0.293077563999788
"unknown unknown",547.417353689545,1.90919066554881,1.55593396721915,1.22703836137791,0.219808172999841,0.293077563999788
"Acidaminococcales Acidaminococcaceae",5299.11928818348,-0.462233784435515,0.471383289925454,-0.980590093697666,0.326794921429074,0.412793584963041
"Coriobacteriales Coriobacteriaceae",4.61283224962318,1.15427475003147,1.43972926008183,0.801730423931139,0.422708912909672,0.489258530322694
"Bacteroidales Porphyromonadaceae",10451.317516078,0.31582014831529,0.398538856485977,0.792445060689841,0.428101214032357,0.489258530322694
"Bacteroidales Odoribacteraceae",350.994831120916,-0.324203973180923,0.521025142232168,-0.622242473351618,0.533782441504018,0.582308118004383
"Clostridiales unknown",109.799754717871,-0.372280709404535,0.741296427339853,-0.502202217189239,0.615525283478654,0.642287252325552
"Bacteroidales Barnesiellaceae",758.742071274219,-0.296110836855392,0.667423125552276,-0.443662836241054,0.657286368310682,0.657286368310682
