"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Burkholderiales Sutterellaceae",13996.1805094113,-1.78469473302147,0.222730030802629,-8.01281590358584,1.12111395804357e-15,2.3543393118915e-14
"Bacteroidales Bacteroidaceae",107116.124214249,-1.04309579894581,0.173225233449825,-6.02161577832682,1.72684430925889e-09,1.81318652472184e-08
"Bacteroidales Rikenellaceae",718.630963560422,2.50359421574913,0.526876432124561,4.75176732740484,2.01646333346487e-06,1.23867644841815e-05
"Erysipelotrichales Erysipelotrichaceae",1765.96594095123,1.29494766418531,0.274358016698128,4.71991917630063,2.35938371127266e-06,1.23867644841815e-05
"Desulfovibrionales Desulfovibrionaceae",291.822916015641,6.07195733232167,1.36965568833051,4.43319980638554,9.28447487451999e-06,3.43973290893162e-05
"Acidaminococcales Acidaminococcaceae",129.525589355698,6.79118636841234,1.53614510866166,4.42092763901,9.82780831123319e-06,3.43973290893162e-05
"Lactobacillales Streptococcaceae",27.6498704010863,6.12163034959034,1.47282640894336,4.1563827973333,3.23325917080214e-05,9.69977751240641e-05
"Verrucomicrobiales Akkermansiaceae",55223.4329264249,0.695215744036203,0.172992217343489,4.01876890597802,5.8503015155038e-05,0.000153570414781975
"Clostridiales Eubacteriaceae",14.3395615810584,5.89825224774998,1.8989518051456,3.10605684239456,0.00189600265188448,0.00442400618773045
"Erysipelotrichales Erysipelatoclostridiaceae",89.1203813277409,2.69430844134499,0.92634345233164,2.90854157231135,0.00363118894142143,0.007625496776985
"Clostridiales Peptostreptococcaceae",8.45455025497608,7.14943017018539,2.56479412875991,2.78752594214732,0.00531122016034362,0.0101396021242924
"Enterobacterales Enterobacteriaceae",31.4578365527722,3.81168768896869,1.38852390830628,2.74513651955636,0.00604857299921711,0.0105850027486299
"Clostridiales unknown",36.6252818540995,3.59048786443551,1.41938184616551,2.52961377104779,0.0114188146808743,0.0184457775614123
"Bacteroidales Porphyromonadaceae",9394.56939224807,-0.618025853336123,0.247206934898319,-2.50003444923715,0.0124181230303943,0.0186271845455914
"Eggerthellales Eggerthellaceae",11.3340032320216,3.58151087638129,1.49673090638144,2.39288896962787,0.0167162988327316,0.0234028183658242
"Veillonellales Veillonellaceae",55.8755515795589,-7.5714600829546,3.4346357755775,-2.20444337556623,0.0274931780405172,0.0360847961781788
"Bacteroidales Odoribacteraceae",10.0204309761455,8.20366944170337,4.18268475015341,1.96134060579212,0.0498393034878186,0.0615661984261289
"Bacteroidales Barnesiellaceae",12.2019136582626,4.79403329060256,2.77523255953535,1.72743479609695,0.0840896059686489,0.0981045402967571
"Clostridiales Ruminococcaceae",3082.78550449999,0.478657568611343,0.294698840699704,1.6242261675508,0.104327548065304,0.115309395230073
"Clostridiales Clostridiales_Incertae_Sedis_XIII",12.067934098339,1.60436980201598,1.45091598395397,1.10576340722626,0.268828937313704,0.282270384179389
"Clostridiales Lachnospiraceae",11853.4234584191,-0.19011533514941,0.23571679404833,-0.806541323951784,0.4199307906987,0.4199307906987
"Pseudomonadales Moraxellaceae",6.52966603832328,0.67010541414456,4.27958793957378,0.156581760582141,0.87557447815948,NA
