,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Alistipes shahii OTU_172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,21,0,0
Neglecta unknown OTU_173,0,0,23,0,0,24,0,1,6,18,0,17,0,4,2,2,0,22,0,0,8,26,0,20,0,4,4,14,0,15
Paeniclostridium sordellii/ghonii OTU_174,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
unknown unknown OTU_175,0,2,10,2,0,66,3,5,2,34,0,0,0,2,5,7,0,0,6,7,10,19,0,0,0,0,2,11,0,0
Akkermansia unknown OTU_176,31,22,18,32,1,2,31,6,10,55,9,8,42,13,6,9,2,11,34,32,6,30,8,6,21,38,11,62,8,4
Acetatifactor unknown OTU_177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noviherbaspirillum unknown OTU_178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agathobaculum unknown OTU_179,1,0,0,14,0,16,3,8,0,48,0,0,2,5,0,9,0,24,0,0,0,19,0,5,0,0,0,56,0,0
Bifidobacterium breve/kashiwanohense/longum/callitrichidarum/gallicum/pseudocatenulatum/catenulatum/stercoris/faecale/adolescentis/choerinum/pseudolongum/globosum OTU_180,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Intestinimonas massiliensis OTU_181,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Oscillibacter unknown OTU_182,17,6,0,70,0,0,9,4,0,99,0,0,5,5,0,44,0,0,0,0,0,58,0,0,8,6,0,20,0,0
Parabacteroides unknown OTU_183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes putredinis OTU_184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidovorax carolinensis/defluvii/temperans/delafieldii OTU_185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactonifactor longoviformis OTU_187,32,0,0,11,0,0,8,3,0,2,0,6,17,5,0,3,0,0,5,2,2,2,0,21,8,25,0,6,0,62
Intestinimonas unknown OTU_188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
Clostridioides unknown OTU_189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemmiger unknown OTU_190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0
Mediterraneibacter unknown OTU_191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium unknown OTU_192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11,0,0
Acinetobacter unknown OTU_193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprococcus catus OTU_194,32,8,0,81,0,0,0,0,0,20,0,0,52,8,0,66,0,0,5,9,0,46,0,0,0,0,0,1,0,0
Christensenella massiliensis OTU_195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,18,0,0
unknown unknown OTU_196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,20,0,0
Anaerotignum unknown OTU_197,24,9,0,2,0,0,31,6,0,5,0,0,26,12,0,1,0,0,27,10,0,1,0,0,11,14,0,0,0,0
Alistipes unknown OTU_198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0
Anaerotignum unknown OTU_199,24,19,0,4,0,0,19,0,0,14,0,0,21,5,0,11,0,0,7,11,0,23,0,0,6,3,0,13,0,0
Massiliimalia unknown OTU_200,2,0,4,3,0,1,0,0,1,2,0,0,0,0,0,26,0,0,0,0,0,53,0,1,0,0,0,75,0,0
unknown unknown OTU_201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Collinsella aerofaciens OTU_202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
Paraprevotella clara OTU_203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dorea longicatena OTU_204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestinimonas butyriciproducens OTU_206,9,0,3,21,0,0,15,0,0,48,0,11,0,0,0,23,0,19,0,0,22,3,0,12,3,0,1,53,0,11
Aminipila unknown OTU_207,0,0,2,0,0,1,0,0,5,0,9,6,0,5,4,0,0,3,11,17,5,0,6,1,4,2,4,0,7,4
Mediterraneibacter unknown OTU_208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporobacter unknown OTU_209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Acinetobacter ursingii/baumannii/septicus OTU_210,0,0,13,0,0,2,0,0,218,0,0,7,0,0,1,0,0,102,0,0,0,0,0,0,0,0,9,0,0,5
Enterocloster unknown OTU_211,4,6,1,18,0,9,2,0,1,25,0,8,0,8,0,17,0,0,6,1,2,0,0,12,0,7,0,5,0,5
unknown unknown OTU_212,0,0,0,3,0,0,0,0,0,0,0,0,29,9,0,4,0,0,12,12,0,7,0,0,22,18,0,16,0,0
unknown unknown OTU_213,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,6,3,0,0,1,0,0,2,0,0,5,0,0,0
Pseudoflavonifractor unknown OTU_214,7,7,0,17,0,0,27,6,0,37,0,0,8,7,0,10,0,0,7,12,0,43,0,0,4,6,0,15,0,0
Parabacteroides unknown OTU_215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neglecta unknown OTU_216,0,0,0,1,0,0,7,0,0,0,0,105,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Ihubacter unknown OTU_217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
unknown unknown OTU_218,8,0,0,0,0,0,0,0,0,2,0,0,138,0,0,2,0,0,72,0,0,0,0,0,44,0,0,0,0,0
Faecalibacillus unknown OTU_219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium_sensu_stricto thermophilus/perfringens OTU_220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_221,2,0,0,5,0,0,10,0,0,13,0,0,18,0,0,11,0,0,19,0,0,39,0,0,4,0,0,14,0,0
Rhizobium unknown OTU_222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus vestibularis/salivarius OTU_224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_225,0,3,3,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,3,0,0,0,1,0,4
unknown unknown OTU_226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_227,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,1,2,15,0,2
Akkermansia unknown OTU_228,16,2,0,0,0,0,28,0,0,0,0,0,19,0,0,0,0,0,17,4,0,3,0,0,4,4,0,0,0,0
unknown unknown OTU_229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akkermansia unknown OTU_231,14,2,13,2,6,2,5,2,9,4,2,0,8,4,8,3,2,3,8,1,10,4,2,3,9,3,9,9,4,2
Duncaniella unknown OTU_232,0,0,1,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Ligilactobacillus unknown OTU_233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides unknown OTU_234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adlercreutzia equolifaciens OTU_236,4,0,0,43,0,0,10,0,0,22,0,0,2,0,0,0,0,0,1,0,0,48,0,0,0,0,1,5,0,0
Acinetobacter unknown OTU_237,0,0,0,0,0,0,0,0,66,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquabacterium parvum OTU_238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comamonas unknown OTU_239,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phascolarctobacterium unknown OTU_240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Alistipes ihumii/marseilloanorexicus OTU_241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus2 unknown OTU_242,0,0,0,5,0,0,11,0,0,12,0,0,0,0,0,0,0,0,10,0,0,12,0,0,0,5,0,0,0,0
unknown unknown OTU_243,0,1,2,0,0,0,0,0,2,4,1,5,0,0,6,3,0,0,5,0,1,0,0,1,0,0,4,0,0,1
unknown unknown OTU_244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerotignum unknown OTU_245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Christensenella minuta OTU_246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,16,0,0
Clostridium_XVIII spiroforme OTU_247,10,0,0,16,0,0,4,0,0,30,0,3,1,2,0,7,0,0,2,0,0,4,0,0,0,0,0,4,0,0
Turicibacter unknown OTU_248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerostipes hadrus OTU_249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
unknown unknown OTU_251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium_sensu_stricto unknown OTU_252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerotruncus colihominis OTU_253,0,0,0,17,0,11,2,0,0,12,0,23,1,1,0,7,0,0,2,0,0,2,0,18,0,0,0,0,0,43
Massilia brevitalea/timonae/haematophila OTU_254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eggerthella lenta OTU_255,6,1,0,41,0,5,0,1,0,13,0,1,1,0,0,14,0,2,0,0,0,30,0,1,0,0,1,9,0,0
Enterocloster unknown OTU_256,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
Dubosiella newyorkensis OTU_257,10,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lactobacillus johnsonii/taiwanensis/gasseri/hominis OTU_258,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerofustis unknown OTU_259,0,0,17,0,8,1,0,0,6,0,10,4,0,0,4,1,3,6,0,0,7,0,1,0,0,0,4,2,0,14
Ihubacter unknown OTU_260,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_261,0,0,0,0,18,0,0,0,4,0,16,9,0,0,0,0,0,0,0,0,13,0,15,0,0,0,10,0,0,0
Eubacterium unknown OTU_262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0
Sporobacter unknown OTU_263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massilia unknown OTU_266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium_sensu_stricto unknown OTU_267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paramuribaculum unknown OTU_268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter oleivorans/lwoffii/baumannii/pittii OTU_269,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Paramuribaculum unknown OTU_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phocaeicola unknown OTU_271,1,0,0,0,0,0,4,0,0,6,2,0,3,0,0,0,0,0,7,0,3,0,0,10,0,0,0,0,0,0
Ruminococcus2 unknown OTU_272,2,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,64,0,0,0,0,0,0,8,0,0,0,0
Bacteroides unknown OTU_273,0,0,0,0,0,5,0,0,0,0,6,9,2,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3
Aquabacterium citratiphilum OTU_274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_276,0,0,1,0,3,2,0,0,5,0,4,7,0,0,0,0,0,2,0,0,2,0,2,0,0,0,9,0,4,0
Sphingomonas dokdonensis/jeddahensis/mucosissima OTU_277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dorea formicigenerans OTU_279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheinheimera tilapiae/aquatica/coerulea/tangshanensis/texasensis OTU_281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duncaniella unknown OTU_282,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0
unknown unknown OTU_283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides unknown OTU_284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Akkermansia unknown OTU_285,8,1,0,4,0,1,2,2,1,4,4,6,5,4,0,10,0,0,1,0,0,1,0,2,0,0,0,6,0,0
unknown unknown OTU_286,2,2,6,7,8,0,0,0,4,6,14,1,0,2,0,0,0,0,1,0,0,2,4,0,0,0,0,1,0,0
Aquabacterium commune OTU_287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noviherbaspirillum unknown OTU_288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parabacteroides unknown OTU_289,0,0,10,0,0,3,0,4,5,0,0,0,4,1,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0
Haemophilus parainfluenzae OTU_290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
unknown unknown OTU_292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
Clostridium_IV leptum OTU_293,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,5,0,0,0,0,0,4,0,0
Blautia unknown OTU_294,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,1,4,3,4,0,0
Enhydrobacter aerosaccus OTU_295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia unknown OTU_296,0,0,0,8,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
unknown unknown OTU_297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
Enterocloster unknown OTU_298,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes obesi OTU_301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Aureimonas unknown OTU_302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nocardioides marinus OTU_303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteus penneri/vulgaris/mirabilis OTU_304,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella melaninogenica OTU_305,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Holdemania unknown OTU_306,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
Bacteroides unknown OTU_307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerobutyricum unknown OTU_308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adlercreutzia unknown OTU_309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium_XlVa unknown OTU_310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas unknown OTU_311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phenylobacterium unknown OTU_312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ihubacter unknown OTU_313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
unknown unknown OTU_315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas resinovorans/aeruginosa/alcaligenes OTU_316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azospirillum melinis/zeae/lipoferum/oryzae/humicireducens OTU_317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Hespellia unknown OTU_319,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Alistipes unknown OTU_320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevundimonas intermedia/nasdae/aurantiaca/mediterranea/bacteroides OTU_322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collinsella unknown OTU_323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Hydrogeniiclostridium unknown OTU_324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Harryflintia acetispora OTU_325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaeromassilibacillus unknown OTU_326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phenylobacterium unknown OTU_328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harryflintia unknown OTU_331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dysosmobacter unknown OTU_333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sediminibacterium salmoneum/goheungense OTU_335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporobacter unknown OTU_336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parasutterella unknown OTU_337,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
Clostridium_sensu_stricto subterminale OTU_338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Novispirillum itersonii OTU_340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusobacterium varium OTU_341,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Rhodocista unknown OTU_342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes unknown OTU_343,0,0,0,5,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,3,0,0,0,2,0,3,2,0,0
Duncaniella unknown OTU_344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter unknown OTU_346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romboutsia unknown OTU_347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevundimonas viscosa/kwangchunensis OTU_348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
