,0,1,2,3,4,5,6,7,8
Proteobacteria Alphaproteobacteria Sphingomonadales Erythrobacteraceae,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Sphingomonadales Sphingosinicellaceae,0,0,0,0,0,0,0,0,0
Proteobacteria Betaproteobacteria Burkholderiales Burkholderiaceae,0,0,0,0,0,0,0,0,0
Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae,0,0,0,0,0,0,0,0,0
Proteobacteria Betaproteobacteria Burkholderiales Oxalobacteraceae,76,76,87,80,0,0,0,0,0
Proteobacteria Betaproteobacteria Burkholderiales Sutterellaceae,27097,24302,20665,13557,29543,28737,23393,25506,21569
Proteobacteria Betaproteobacteria Burkholderiales unknown,0,0,0,0,0,0,0,0,0
Proteobacteria Deltaproteobacteria Bdellovibrionales Bdellovibrionaceae,0,0,0,0,0,0,0,0,0
Proteobacteria Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae,2434,2354,2671,1733,40,55,19,5,3
Proteobacteria Deltaproteobacteria unknown unknown,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Chromatiales Chromatiaceae,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae,4,0,0,0,0,0,17,6,0
Proteobacteria Gammaproteobacteria Enterobacterales Morganellaceae,2,0,0,0,0,0,3,0,0
Proteobacteria Gammaproteobacteria Legionellales Legionellaceae,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae,0,0,0,0,0,0,0,0,0
Proteobacteria Hydrogenophilalia Hydrogenophilales Hydrogenophilaceae,0,0,0,0,0,0,0,0,0
Proteobacteria Oligoflexia Bacteriovoracales Bacteriovoracaceae,0,0,0,0,0,0,0,0,0
Proteobacteria unknown unknown unknown,1669,119,174,1262,0,0,0,0,0
Verrucomicrobia Verrucomicrobiae Verrucomicrobiales Akkermansiaceae,38159,37749,55642,45014,105890,80287,84251,84132,75042
Verrucomicrobia Verrucomicrobiae Verrucomicrobiales unknown,0,0,0,0,0,0,0,0,0
unknown unknown unknown unknown,18,13,17,0,0,0,5,0,0
