"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Firmicutes Clostridia Clostridiales Christensenellaceae",193.032732135399,6.61982982089849,1.19176599145266,5.55463897138859,2.78186118310027e-08,7.23283907606071e-07
"Bacteroidetes Bacteroidia Bacteroidales Odoribacteraceae",523.985712000456,-2.07759750650906,0.421933366515211,-4.92399433509642,8.4795292073866e-07,1.10233879696026e-05
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelatoclostridiaceae",126.204266813263,2.98079346778409,0.899239920924978,3.31479219107396,0.000917112759011241,0.00794831057809742
"Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae",5208.25293254433,2.44388909491535,0.777369526140453,3.14379328329085,0.00166773204014583,0.0103934029127445
"Verrucomicrobia Verrucomicrobiae Verrucomicrobiales Akkermansiaceae",26012.9877346917,-2.20634410806251,0.713930006253741,-3.09042075376552,0.00199873132937394,0.0103934029127445
"Firmicutes Clostridia Clostridiales Ruminococcaceae",2823.28925979328,1.24276957400695,0.50314830370405,2.46998661201479,0.0135118108862316,0.0585511805070036
"Firmicutes Clostridia Clostridiales Lachnospiraceae",12571.5549660499,0.915627807542962,0.438306921896088,2.08901060376143,0.0367067686574064,0.136339426441795
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae",3153.2890527364,-1.13254310921766,0.56304331338651,-2.01146711503563,0.0442761404487858,0.143897456458554
"Firmicutes Clostridia Clostridiales Eubacteriaceae",37.8012851926391,2.06981401265697,1.09292283955259,1.89383361546758,0.0582470982078509,0.168269394822681
"Proteobacteria Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae",3555.40438320501,0.808773567623795,0.473824343118069,1.70690590167138,0.0878395437152967,0.228382813659771
"Firmicutes Clostridia Clostridiales unknown",128.909129068173,1.00557448998815,0.625130289071636,1.60858385454575,0.107707366951081,0.239903170578875
"Proteobacteria Betaproteobacteria Burkholderiales Sutterellaceae",8485.34602179519,0.808166777378315,0.513261678029351,1.57457065659225,0.115355580421625,0.239903170578875
"Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae",112776.074531921,-0.422134306269826,0.27147305055891,-1.55497683987686,0.119951585289437,0.239903170578875
"Proteobacteria Betaproteobacteria Burkholderiales Oxalobacteraceae",32.1435731180938,2.14168078447943,1.63535500144469,1.30961215307223,0.190327075027511,0.353464567908235
"Bacteroidetes Bacteroidia Bacteroidales Rikenellaceae",1799.00051108447,-0.784894907730374,0.714093702554773,-1.09914833994796,0.271703367709978,0.470952504030628
"Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae",12662.2128118809,-0.931964279342807,1.00718212357485,-0.925318527333404,0.354800244197758,0.576550396821356
"Firmicutes Clostridia Clostridiales Peptostreptococcaceae",20.6463954132571,-1.9352408852855,2.67414513809554,-0.723685808117254,0.469258647870119,0.717689696742535
"Bacteroidetes Bacteroidia Bacteroidales Barnesiellaceae",1015.27836835821,0.298782626864784,0.567570179846129,0.526424110135217,0.598593567568865,0.843299890223862
"Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae",16846.3743267592,0.146880900274097,0.317955612676394,0.461954104340937,0.644114233450958,0.843299890223862
"Firmicutes Clostridia unknown unknown",20.642920207064,-0.75711014297022,1.66413977809654,-0.454955859438809,0.64914099495084,0.843299890223862
"Proteobacteria unknown unknown unknown",446.144972801201,-0.663865316967603,1.61553515605209,-0.410925948891079,0.681126834411581,0.843299890223862
"Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XIII",43.2624118517195,-0.287230826849046,0.994086045214574,-0.288939602594509,0.772627597113106,0.909255610081625
"Firmicutes Negativicutes Acidaminococcales Acidaminococcaceae",6339.7773393687,-0.090984050513151,0.36726754092054,-0.247732348698999,0.804341501226053,0.909255610081625
"Firmicutes unknown unknown unknown",143.987691017991,-0.0768055232304968,1.85541901225713,-0.0413952442672572,0.966980804074302,1
"Actinobacteria Coriobacteriia Coriobacteriales Coriobacteriaceae",3.6794098781055,0,2.71454376754449,0,1,1
"Firmicutes Bacilli Lactobacillales Streptococcaceae",42.9791108586708,0,2.4845455203078,0,1,1
