,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Firmicutes Clostridia Clostridiales unknown,232,104,119,172,59,222,282,74,90,172,30,186,994,39,73,158,17,92,248,295,37,169,49,38
Firmicutes Clostridia unknown unknown,0,0,13,0,55,0,0,0,41,0,69,1,0,0,71,0,131,27,1,0,42,0,1,53
Firmicutes Erysipelotrichia Erysipelotrichales Erysipelatoclostridiaceae,12,70,53,39,149,205,99,81,17,130,95,299,23,72,21,10,329,88,86,255,3,328,403,45
Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae,642,329,1340,2176,10282,1085,529,671,1852,2175,3527,768,870,357,4188,2618,6511,983,605,624,7091,2869,12382,2952
Firmicutes Erysipelotrichia Erysipelotrichales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Firmicutes Negativicutes Acidaminococcales Acidaminococcaceae,6998,5090,6019,4801,15714,4151,9311,5417,4999,3806,11892,4054,11484,2129,4557,2819,10273,4945,9307,9364,6651,2000,9596,4771
Firmicutes Negativicutes Selenomonadales Selenomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Negativicutes Veillonellales Veillonellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Firmicutes Negativicutes unknown unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes unknown unknown unknown,0,2,0,5,0,4,69,104,1,2208,0,0,1,14,2,14,0,0,74,116,3,2413,0,1
Fusobacteria Fusobacteriia Fusobacteriales Fusobacteriaceae,2,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Lentisphaerae Lentisphaeria Victivallales Victivallaceae,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,5,1,1,0,0,0
Proteobacteria Alphaproteobacteria Caulobacterales Caulobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Kiloniellales Kiloniellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
