	OTU_1	OTU_2	OTU_3	OTU_4	OTU_5	OTU_6	OTU_7	OTU_8	OTU_9	OTU_10	OTU_11	OTU_12	OTU_13	OTU_14	OTU_15	OTU_16	OTU_17	OTU_18	OTU_20	OTU_21	OTU_22	OTU_23	OTU_24	OTU_25	OTU_27	OTU_28	OTU_30	OTU_31	OTU_33	OTU_34	OTU_35	OTU_36	OTU_37	OTU_38	OTU_39	OTU_40	OTU_41	OTU_42	OTU_45	OTU_46	OTU_47	OTU_48	OTU_50	OTU_51	OTU_52	OTU_53	OTU_55	OTU_56	OTU_57	OTU_59	OTU_61	OTU_62	OTU_63	OTU_64	OTU_66	OTU_68	OTU_70	OTU_71	OTU_72	OTU_73	OTU_74	OTU_76	OTU_78	OTU_79	OTU_80	OTU_84	OTU_85	OTU_87	OTU_88	OTU_89	OTU_90	OTU_91	OTU_92	OTU_96	OTU_97	OTU_100	OTU_101	OTU_105	OTU_108	OTU_109	OTU_110	OTU_111	OTU_112	OTU_113	OTU_114	OTU_119	OTU_122	OTU_124	OTU_125	OTU_126	OTU_129	OTU_130	OTU_131	OTU_136	OTU_139	OTU_140	OTU_141	OTU_143	OTU_144	OTU_147	OTU_149	OTU_154	OTU_155	OTU_158	OTU_161	OTU_162	OTU_165	OTU_168	OTU_181	OTU_183	OTU_190	OTU_195	OTU_201
OTU_147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_149	0.0	0.0	0.0	0.0	0.0	3.5279231454970185e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0723652224795678e-10	1.1334760094200663e-09	0.0	1.00276887663376e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6031062501496437e-10	1.0352666228896053e-10	0.0	0.0	-1.6622575306284477e-09	0.0	0.0	0.0	1.8429931837184543e-10	0.0	-4.0165270144125674e-10	0.0	0.0	0.0	0.0	-1.5245289863707678e-09	0.0	-9.378963598005431e-10	-2.5126957706823907e-09	2.7072884403487914e-10	0.0	-2.133359519426359e-09	0.0	-4.5722258111933695e-09	0.0	0.0	0.0	0.0	0.0	-8.535965347429927e-10	0.0	0.0	0.0	-3.5099544603418153e-09	0.0	-5.979314231864194e-10	0.0
OTU_154	0.0	0.0	0.0	0.0	0.0	1.4712819328374324e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8695781422724054e-10	0.0	0.0	0.0	-2.1370015832533063e-09	0.0	0.0	0.0	0.0	0.0	-5.749696033676556e-10	0.0	0.0	0.0	0.0	-1.556299670241673e-09	0.0	-9.647707103608373e-10	-2.3570842109968956e-09	0.0	0.0	-2.1290462259854987e-09	0.0	-3.89426189453167e-09	0.0	0.0	0.0	0.0	0.0	-9.487342682654069e-10	0.0	0.0	0.0	-3.137523032443153e-09	0.0	-6.562188435737802e-10	0.0
OTU_155	0.0	0.0	0.0	0.0	0.0	6.371449821379485e-10	0.0	3.396254152051102e-11	0.0	0.0	-4.552990598591799e-12	0.0	0.0	-8.33679526661185e-12	0.0	0.0	9.467207756047244e-12	-1.2785849678803754e-10	1.0688751487979543e-11	6.651294712562596e-12	0.0	0.0	0.0	5.988852631631466e-12	-1.1397559422400021e-11	0.0	7.4028107220224e-12	0.0	7.85025275262542e-12	1.7894876293556822e-11	6.854073373383485e-12	0.0	2.3530802860357264e-12	8.996256188849434e-12	9.25023354695978e-12	0.0	0.0	1.008732604164805e-11	1.2448476995476963e-10	0.0	2.9344500543081927e-10	0.0	0.0	-2.3019949068307915e-10	1.143072679089481e-11	1.8978913593833835e-11	3.030339863847959e-10	0.0	0.0	4.637976643130022e-11	0.0	-3.878156930008125e-11	0.0	2.6928778183310316e-11	6.294988178514534e-12	1.4859793857590702e-10	-1.118148268187477e-10	8.579397031984134e-11	0.0	3.0042067856317457e-10	0.0	-7.209828115965308e-12	1.2644465388718646e-10	7.764041082371394e-12	-5.642387714939967e-11	1.7314811425778551e-10	1.7834413841938592e-10	-2.55800278927627e-10	1.915868859301841e-11	0.0	1.8653434851952678e-11	4.573138016144905e-12	3.529318392307402e-10	7.274629506207394e-12	-6.6058331474616046e-12	0.0	5.306644891416434e-10	5.362799398731499e-10	1.3500381476762016e-10	1.917690753001158e-12	-1.884194587232846e-09	0.0	6.351280006521754e-11	1.8329079453104052e-10	1.342991097485336e-10	0.0	-3.069774005532373e-10	0.0	0.0	0.0	3.497812971956526e-10	-1.5727681971303994e-09	8.519512129129345e-13	-9.634258359806075e-10	-2.277188422067183e-09	1.0800009050669807e-10	-5.422130542118841e-11	-1.779642158855974e-09	9.257293239318571e-11	-3.7237572576162795e-09	2.8878871507549383e-10	-1.447249202340585e-10	0.0	1.4270575058226716e-09	0.0	-8.01622920345757e-10	8.739716321239085e-11	6.291368359561506e-10	-1.7622220447868923e-10	-2.7729846386238255e-09	-1.3085941655347557e-10	-5.199909307094077e-10	-5.2150353753482076e-11
OTU_158	0.0	0.0	0.0	0.0	0.0	2.7479398897534726e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0681281078384823e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.4489581453082024e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.5025402865482592e-09	0.0	-7.896848220313505e-10	-2.2888998437493177e-09	0.0	0.0	-1.940640660730785e-09	0.0	-4.0957881717484165e-09	0.0	0.0	0.0	0.0	0.0	-7.546566805609006e-10	0.0	0.0	0.0	-2.9292149929959338e-09	0.0	0.0	0.0
OTU_161	0.0	0.0	0.0	0.0	0.0	4.131618967203948e-10	0.0	8.503203469237855e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.800678622116826e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3777421416651457e-11	0.0	1.6660525269641616e-10	0.0	0.0	-2.2169037388230074e-10	1.2653839431979428e-10	0.0	2.0915066385799684e-10	0.0	0.0	2.4414968146246603e-11	6.955369006791354e-11	0.0	0.0	0.0	0.0	8.700206560171636e-11	0.0	0.0	0.0	1.7387819375370243e-10	0.0	0.0	4.796128780132244e-11	0.0	0.0	1.402586138102059e-10	1.0571413330944185e-10	0.0	0.0	0.0	1.0512948460982994e-10	0.0	2.0127473147925456e-10	0.0	0.0	0.0	5.327588076887803e-10	3.44793956535205e-10	6.185697843639321e-11	-2.915137181148035e-11	-2.0175075990265917e-09	0.0	0.0	7.558049607346972e-11	1.130823463391355e-10	0.0	-5.645795135033283e-10	0.0	0.0	0.0	1.6390161172703758e-10	-1.588498322018146e-09	-4.740611301745474e-11	-1.176324484097578e-09	-2.777407919706527e-09	0.0	0.0	-2.074222162007369e-09	0.0	-4.459860536634419e-09	1.4088000739767444e-10	0.0	0.0	8.404817043269469e-10	0.0	-9.82259400088083e-10	-4.494858189776828e-12	3.6952251354282397e-10	-1.9859210992397908e-10	-3.811974695966551e-09	0.0	-6.611021907394815e-10	1.7650997593691518e-10
OTU_162	0.0	0.0	0.0	0.0	0.0	4.039033337141591e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5996825018098124e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1748267642694144e-10	0.0	0.0	0.0	-1.2766623483172428e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.361664040935475e-09	0.0	-6.128566207975981e-10	-1.9204761593479375e-09	0.0	0.0	-1.8062854927588497e-09	0.0	-3.563218533442386e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.550819301836149e-09	0.0	0.0	0.0
OTU_165	0.0	0.0	0.0	0.0	0.0	2.7445577050084083e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.544280742066849e-11	0.0	0.0	-1.6536388689064087e-10	3.495220461070911e-10	0.0	1.2589602371012505e-10	0.0	0.0	0.0	7.085208557315648e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.5709665295730712e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.836940073688664e-10	1.5637616578687726e-10	0.0	0.0	-1.321601389221584e-09	0.0	0.0	0.0	0.0	0.0	-4.5644360937487824e-10	0.0	0.0	0.0	0.0	-1.0854111921013676e-09	0.0	-9.590868014043259e-10	-2.0868501388153288e-09	0.0	0.0	-1.5187589882390124e-09	0.0	-3.410473134790142e-09	0.0	0.0	0.0	3.468686903343306e-10	0.0	-6.410348806916093e-10	0.0	2.1409297542133734e-10	0.0	-2.9357723113627766e-09	0.0	-4.6062364382615876e-10	0.0
OTU_168	0.0	0.0	0.0	0.0	0.0	2.7525454235859914e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.254345368500551e-09	0.0	0.0	0.0	8.158798229909132e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6774569741089781e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.392423032530298e-10	0.0	0.0	0.0	-1.7778552472255693e-09	0.0	0.0	0.0	0.0	0.0	-4.4345222137061286e-10	0.0	0.0	0.0	0.0	-1.6326349889528395e-09	0.0	-9.012201713674556e-10	-2.5459681024071116e-09	2.987169543855551e-10	1.2482355707871864e-10	-2.3346387757729946e-09	0.0	-4.650231792572384e-09	0.0	0.0	0.0	0.0	0.0	-9.178780839898439e-10	0.0	0.0	0.0	-3.573916499894093e-09	0.0	-6.372448490680249e-10	0.0
OTU_181	0.0	0.0	0.0	0.0	0.0	3.8500305092348295e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3532286984310465e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3990792058556304e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3625283841048635e-10	0.0	0.0	0.0	-2.0078668420013486e-09	0.0	0.0	0.0	0.0	0.0	-4.755236018869439e-10	0.0	0.0	0.0	0.0	-1.7574890362446651e-09	0.0	-9.987129423147645e-10	-2.608947183116152e-09	3.337187616430882e-10	0.0	-2.5038420480831857e-09	0.0	-4.552426085835853e-09	0.0	0.0	0.0	0.0	0.0	-9.175093398741816e-10	0.0	0.0	0.0	-3.5181033573222267e-09	0.0	-6.19065509021761e-10	0.0
