mass1	mass2	mass3
1.50E+10	2.96E+10	2.74E+10
1.03E+10	2.22E+10	2.38E+10
1.49E+10	2.86E+10	1.99E+10
1.31E+10	1.26E+10	1.48E+10
1.88E+10	4.54E+10	2.67E+10
1.89E+10	3.41E+10	5.65E+10
1.04E+11	4.24E+10	9.94E+10
2.56E+10	6.69E+10	3.39E+10
9.55E+09	2.02E+10	2.05E+10
2.13E+10	3.35E+10	4.16E+10
4.82E+10	6.95E+10	7.70E+10
1.29E+10	1.31E+10	8.89E+09
2.18E+11	3.71E+11	2.64E+11
1.02E+11	1.56E+11	2.91E+11
4.78E+10	8.33E+10	6.27E+10
6.35E+10	9.27E+10	6.94E+10
3.32E+10	4.56E+10	4.24E+10
3.88E+10	6.19E+10	5.21E+10
2.52E+10	7.48E+10	5.28E+10
4.03E+10	5.64E+10	5.09E+10
4.14E+10	6.01E+10	8.21E+10
3.97E+10	4.05E+10	5.81E+10
7.22E+10	1.31E+11	1.66E+11
6.38E+10	1.51E+11	8.86E+10
5.59E+10	9.37E+10	8.47E+10
8.15E+10	1.05E+11	1.38E+11
1.01E+11	1.50E+11	1.40E+11
4.94E+11	4.57E+11	5.05E+11
1.53E+11	1.83E+11	2.91E+11
4.21E+11	2.95E+11	6.36E+11
1.35E+11	1.78E+11	2.44E+11
2.51E+11	4.40E+11	1.99E+11
1.76E+11	2.32E+11	2.18E+11
1.43E+11	2.32E+11	2.16E+11
1.28E+11	1.07E+11	1.49E+11
1.86E+11	1.82E+11	2.12E+11
1.29E+11	2.47E+11	2.86E+11
7.79E+10	1.40E+11	1.23E+11
5.04E+10	8.14E+10	1.15E+11
1.54E+11	2.30E+11	1.68E+11
3.07E+10	4.65E+10	3.36E+10
1.45E+11	1.61E+11	1.67E+11
1.33E+11	1.99E+11	1.20E+11
5.64E+10	1.05E+11	6.45E+10
1.87E+11	1.37E+11	2.16E+11
7.68E+10	2.99E+10	8.06E+10
1.08E+10	1.57E+10	1.64E+10
2.23E+10	2.62E+10	1.04E+10
2.48E+10	2.25E+10	4.00E+10
1.83E+10	3.00E+10	8.79E+09
4.93E+10	1.91E+10	5.17E+10
1.36E+10	2.77E+10	2.91E+10
1.29E+10	1.99E+10	4.38E+10
1.45E+10	2.62E+10	2.53E+10
1.30E+10	3.60E+10	3.18E+10
1.80E+10	2.45E+10	2.69E+10
2.62E+10	3.18E+10	6.05E+10
5.41E+10	2.12E+10	4.68E+10
1.60E+10	2.92E+10	1.67E+10
1.50E+10	3.03E+10	3.41E+10
5.03E+10	1.97E+10	4.89E+10
1.49E+11	9.17E+10	1.56E+11
1.12E+11	1.60E+11	1.73E+11
7.78E+10	9.93E+10	1.41E+11
6.29E+10	1.05E+11	8.59E+10
2.23E+10	4.53E+10	4.57E+10
4.64E+10	8.04E+10	1.38E+11
9.19E+10	1.40E+11	8.47E+10
5.54E+10	9.47E+10	6.62E+10
5.90E+10	1.11E+11	5.97E+10
2.02E+11	1.64E+11	1.99E+11
2.85E+10	7.67E+10	3.83E+10
6.46E+10	1.14E+11	7.64E+10
6.51E+10	1.24E+11	6.92E+10
1.35E+10	1.66E+10	2.82E+10
4.35E+10	7.21E+10	6.60E+10
1.75E+10	3.69E+10	3.15E+10
2.52E+10	3.66E+10	4.19E+10
2.04E+10	4.12E+10	3.67E+10
5.93E+10	1.06E+11	7.96E+10
1.55E+11	1.79E+11	3.96E+11
1.74E+10	2.55E+10	4.35E+10
3.87E+10	6.59E+10	3.76E+10
2.25E+10	1.38E+10	2.50E+10
3.60E+10	6.39E+10	8.51E+10
5.85E+10	7.88E+10	3.54E+10
2.45E+10	5.47E+10	5.28E+10
5.09E+10	6.41E+10	6.62E+10
3.36E+10	5.51E+10	3.46E+10
3.34E+10	1.27E+11	5.20E+10
7.27E+10	2.69E+10	7.46E+10
3.45E+10	7.84E+10	7.33E+10
2.47E+10	6.24E+10	4.01E+10
5.89E+10	8.16E+10	1.30E+11
8.65E+10	1.21E+11	1.16E+11
6.63E+10	8.75E+10	1.01E+11
1.08E+11	1.14E+11	2.18E+11
5.09E+10	7.38E+10	6.55E+10
9.93E+10	1.51E+11	1.55E+11
6.73E+10	6.71E+10	9.28E+10
1.02E+11	6.30E+10	9.37E+10
5.32E+10	8.65E+10	7.38E+10
1.32E+11	2.22E+11	1.48E+11
1.22E+11	4.74E+11	1.37E+11
1.71E+11	1.40E+11	2.31E+11
1.89E+11	3.05E+11	2.54E+11
1.86E+11	2.24E+11	2.05E+11
1.05E+11	5.81E+10	9.27E+10
2.32E+11	2.68E+11	3.67E+11
2.43E+11	2.71E+11	2.38E+11
1.38E+11	1.63E+11	1.97E+11
1.58E+11	8.73E+10	1.73E+11
1.57E+11	1.86E+11	1.16E+11
1.48E+11	2.25E+11	3.10E+11
1.14E+11	2.13E+11	2.28E+11
6.05E+10	1.07E+11	8.31E+10
1.92E+11	7.87E+10	2.38E+11
6.81E+10	1.16E+11	1.25E+11
8.97E+10	1.36E+11	1.50E+11
3.39E+10	6.25E+10	6.87E+10
5.14E+10	6.84E+10	7.72E+10
1.57E+10	2.19E+10	4.44E+10
1.62E+10	2.77E+10	3.95E+10
8.04E+09	2.58E+10	8.90E+09
4.36E+10	4.45E+10	2.88E+10
3.04E+10	1.41E+10	2.80E+10
2.79E+10	3.97E+10	4.04E+10
1.52E+10	3.58E+10	1.45E+10
2.58E+10	1.44E+10	3.23E+10
3.69E+10	1.42E+10	4.95E+10
4.37E+10	4.63E+10	3.51E+10
1.59E+10	9.09E+09	1.86E+10
1.62E+10	3.97E+10	3.94E+10
1.05E+10	2.13E+10	1.67E+10
2.07E+10	4.44E+10	3.02E+10
1.25E+10	1.41E+10	2.81E+10
3.37E+09	4.33E+09	6.64E+09
4.21E+10	5.75E+10	6.41E+10
4.86E+10	9.09E+10	1.02E+11
1.14E+11	2.01E+11	1.89E+11
2.41E+11	3.00E+11	3.80E+11
5.12E+10	1.17E+11	1.07E+11
1.13E+11	1.06E+11	1.61E+11
5.49E+10	1.04E+11	1.23E+11
1.30E+11	7.29E+10	1.38E+11
9.15E+10	1.43E+11	1.67E+11
1.05E+11	1.17E+11	1.55E+11
5.38E+10	5.95E+10	9.45E+10
6.19E+10	1.18E+11	1.13E+11
5.64E+10	1.12E+11	1.16E+11
