mass1	mass2	mass3
1.97E+11	2.74E+11	1.85E+11
2.59E+09	3.62E+09	3.28E+09
1.98E+10	3.15E+10	4.22E+10
1.09E+10	2.17E+10	1.90E+10
1.94E+10	3.20E+10	5.45E+10
2.32E+10	2.17E+10	2.82E+10
3.29E+10	4.88E+10	5.98E+10
5.49E+10	6.34E+10	9.00E+10
6.13E+10	1.14E+11	7.62E+10
1.60E+11	6.90E+10	1.26E+11
1.42E+11	2.49E+11	1.82E+11
5.32E+10	3.56E+10	1.30E+11
1.65E+11	1.89E+11	2.04E+11
4.00E+10	6.20E+10	9.74E+10
5.92E+10	1.01E+11	1.08E+11
5.91E+10	1.26E+11	8.52E+10
6.51E+10	1.14E+11	1.34E+11
1.65E+11	1.69E+11	2.21E+11
6.63E+10	8.30E+10	1.66E+11
6.54E+10	1.39E+11	1.24E+11
5.86E+10	7.75E+10	8.17E+10
1.42E+11	1.88E+11	2.58E+11
6.83E+10	1.40E+11	1.33E+11
9.86E+10	1.31E+11	1.42E+11
1.56E+11	2.19E+11	1.91E+11
5.29E+10	1.30E+11	3.83E+10
4.23E+11	5.99E+11	5.37E+11
2.25E+11	4.42E+11	5.67E+11
2.65E+11	2.16E+11	3.67E+11
7.80E+10	1.73E+11	3.01E+11
1.72E+11	1.43E+11	1.92E+11
4.72E+11	4.58E+11	2.91E+11
6.50E+11	9.19E+11	8.99E+11
2.29E+11	2.65E+11	1.60E+11
1.41E+11	1.52E+11	2.05E+11
1.20E+11	1.90E+11	2.29E+11
1.14E+10	2.38E+10	2.84E+10
2.33E+11	2.43E+11	3.32E+11
4.07E+11	3.52E+11	5.63E+11
1.18E+11	7.45E+10	9.58E+10
5.24E+10	1.12E+11	1.15E+11
3.51E+10	4.42E+10	6.44E+10
5.54E+10	9.94E+10	1.16E+11
6.26E+10	1.51E+11	7.10E+10
2.77E+10	4.78E+10	7.33E+10
3.87E+10	3.65E+10	6.24E+10
5.77E+09	1.40E+10	1.81E+10
2.88E+10	4.08E+10	4.34E+10
2.33E+10	2.04E+10	4.89E+10
2.18E+10	1.93E+10	3.00E+10
2.57E+10	1.63E+10	2.97E+10
9.35E+09	1.69E+10	2.29E+10
1.69E+10	4.70E+10	2.54E+10
3.60E+10	4.43E+10	6.25E+10
2.11E+10	7.42E+10	3.16E+10
1.78E+10	2.58E+10	3.63E+10
6.43E+10	5.89E+10	5.26E+10
3.30E+10	1.43E+11	4.06E+10
2.25E+10	5.25E+10	5.89E+10
4.68E+10	5.97E+10	2.12E+10
1.72E+10	3.02E+10	3.71E+10
1.20E+11	1.87E+11	3.02E+11
7.93E+10	1.41E+11	1.37E+11
3.54E+10	4.88E+10	5.23E+10
3.57E+10	5.59E+10	5.78E+10
6.81E+10	3.63E+10	7.43E+10
6.89E+10	5.35E+10	9.10E+10
8.78E+10	9.17E+10	1.26E+11
2.09E+10	3.65E+10	4.44E+10
2.26E+10	3.92E+10	5.77E+10
7.19E+10	1.28E+11	1.28E+11
5.15E+09	1.21E+10	1.14E+10
8.87E+10	9.02E+10	1.32E+11
1.22E+10	1.38E+10	2.08E+10
2.12E+10	3.02E+10	2.11E+10
1.37E+10	2.71E+10	3.70E+10
5.31E+10	8.14E+10	4.50E+10
2.30E+10	2.48E+10	3.48E+10
3.02E+10	3.10E+10	5.61E+10
6.04E+09	1.15E+10	1.46E+10
2.16E+10	2.74E+10	3.38E+10
2.42E+10	3.91E+10	5.21E+10
1.27E+10	2.12E+10	2.80E+10
3.33E+10	4.91E+10	7.14E+10
5.00E+10	8.31E+10	4.91E+10
9.59E+10	2.04E+11	5.74E+10
4.64E+10	6.03E+10	9.76E+10
5.19E+10	7.27E+10	8.25E+10
1.51E+11	3.26E+11	1.04E+11
5.67E+10	1.23E+11	1.21E+11
6.92E+10	3.99E+10	5.56E+10
1.23E+11	2.17E+11	2.29E+11
2.78E+10	5.14E+10	3.62E+10
5.44E+11	3.76E+11	5.88E+11
1.16E+11	1.65E+11	1.49E+11
8.52E+10	5.83E+10	8.22E+10
5.16E+10	8.01E+10	5.62E+10
5.91E+10	1.15E+11	1.28E+11
1.28E+11	2.03E+11	2.14E+11
1.95E+11	3.86E+11	1.29E+11
8.98E+10	3.59E+10	6.99E+10
5.54E+11	4.89E+11	4.68E+11
2.73E+11	3.97E+11	2.00E+11
1.30E+11	5.81E+10	1.30E+11
1.68E+11	2.62E+11	2.89E+11
4.73E+10	1.24E+11	1.12E+11
4.19E+11	5.76E+11	5.96E+11
4.17E+11	3.91E+11	3.67E+11
6.33E+09	1.11E+10	5.22E+09
4.07E+10	4.51E+10	4.39E+10
1.40E+11	1.71E+11	2.20E+11
8.37E+10	1.11E+11	1.55E+11
1.17E+11	1.38E+11	1.93E+11
1.93E+11	3.05E+11	2.47E+11
4.98E+10	1.11E+11	4.79E+10
4.93E+10	4.08E+10	9.00E+10
1.00E+11	4.39E+10	1.07E+11
8.90E+10	1.31E+11	1.29E+11
7.64E+10	7.54E+10	4.71E+10
2.75E+10	3.31E+10	4.82E+10
1.62E+10	1.62E+10	3.15E+10
1.77E+10	1.54E+10	4.01E+09
2.54E+10	4.40E+10	4.90E+10
3.24E+10	1.10E+10	2.93E+10
1.31E+10	9.83E+09	1.75E+10
4.88E+10	6.07E+10	5.61E+10
1.33E+10	7.49E+09	1.34E+10
3.17E+10	3.71E+10	2.97E+10
3.42E+10	5.05E+10	7.81E+10
4.78E+10	3.54E+10	5.05E+10
2.91E+10	3.51E+10	4.78E+10
7.01E+10	8.63E+10	3.85E+10
6.15E+10	8.92E+10	1.10E+11
4.22E+10	1.21E+11	3.09E+10
1.92E+10	3.51E+10	1.71E+10
1.34E+10	3.18E+10	2.19E+10
6.98E+10	1.18E+11	1.52E+11
2.54E+10	2.84E+10	4.10E+10
3.68E+10	4.68E+10	4.20E+10
1.15E+11	6.51E+10	1.53E+11
8.64E+10	7.53E+10	1.04E+11
1.09E+11	6.16E+10	1.13E+11
3.79E+10	6.43E+10	5.33E+10
1.44E+11	1.64E+11	7.15E+10
8.08E+10	5.85E+10	3.53E+10
7.12E+10	3.50E+10	6.22E+10
2.49E+10	5.19E+10	5.92E+10
3.92E+10	1.91E+10	4.33E+10
7.03E+10	1.37E+11	1.55E+11
3.66E+09	4.40E+09	6.46E+09
1.02E+10	1.73E+10	1.51E+10
3.07E+10	7.59E+10	6.77E+10
9.15E+10	8.49E+10	1.38E+11
1.06E+11	1.41E+11	1.51E+11
2.34E+10	5.54E+10	4.82E+06
2.95E+10	7.31E+10	4.03E+10
1.49E+11	3.02E+11	3.12E+11
1.80E+10	3.02E+10	3.44E+10
3.07E+10	3.35E+10	3.80E+10
1.59E+10	3.40E+10	3.12E+10
6.46E+10	1.15E+11	5.36E+10
4.42E+10	9.46E+10	9.31E+10
1.09E+11	1.25E+11	1.38E+11
4.97E+10	4.45E+10	9.37E+10
1.14E+11	1.65E+11	1.72E+11
3.46E+10	6.82E+10	5.77E+10
1.90E+11	3.81E+11	3.85E+11
5.85E+10	3.35E+10	5.12E+10
2.03E+10	4.95E+10	6.19E+10
3.66E+10	4.17E+10	8.39E+10
1.43E+11	1.15E+11	1.91E+11
1.35E+11	1.97E+11	2.37E+11
8.57E+10	1.41E+11	1.22E+11
5.56E+10	4.31E+10	6.53E+10
3.13E+11	3.34E+11	4.16E+11
1.39E+11	2.45E+11	1.62E+11
9.01E+10	1.79E+11	1.74E+11
5.35E+11	2.61E+11	6.38E+11
2.90E+11	4.92E+11	4.95E+11
3.95E+11	1.34E+11	3.12E+11
1.09E+11	2.24E+11	3.00E+11
5.53E+11	7.50E+11	8.90E+11
2.85E+11	4.83E+11	4.77E+11
4.03E+11	3.76E+11	5.59E+11
2.84E+11	2.64E+11	9.32E+10
2.42E+09	3.27E+09	3.45E+09
1.85E+11	2.38E+11	2.57E+11
3.36E+11	2.69E+11	2.74E+11
5.72E+10	5.21E+10	7.70E+10
